volume,price,datetime
29621.5038,444.795,2014-04-03 18:41:37
11007.67943,495.66,2014-04-02 09:53:01
12389.94413,484.82,2014-04-01 07:34:32
16517.34544,445.0,2014-04-04 13:31:47
26190.54612,465.247,2014-04-01 02:09:10
16597.82244,492.983,2014-04-01 16:40:13
28030.79968,458.928,2014-03-31 20:13:43
17551.08639,441.952,2014-04-02 17:13:36
22403.64521,443.536,2014-04-03 22:03:37
16667.28855,490.033,2014-04-01 10:19:43
16791.04808,444.651,2014-04-04 15:32:01
31059.44414,463.0,2014-03-31 16:28:23
14386.84906,480.92,2014-04-02 06:57:50
16343.1317,488.001,2014-04-01 20:11:56
30110.60513,468.0,2014-03-31 17:03:26
27549.24896,447.0,2014-04-03 19:18:16
16429.02142,485.1,2014-04-01 14:30:04
20560.43036,439.0,2014-04-04 01:00:19
11829.35681,483.94,2014-04-02 13:18:17
28352.27441,460.385,2014-03-31 19:28:38
16947.64372,490.0,2014-04-01 11:39:50
20639.46034,427.0,2014-04-02 17:53:39
17174.4805,488.101,2014-04-01 22:07:06
22526.93829,446.499,2014-04-03 21:08:30
15182.45347,478.381,2014-04-02 06:07:46
30083.60151,467.0,2014-03-31 17:08:26
16664.6022,434.0,2014-04-04 13:41:48
12457.46616,480.0,2014-04-01 07:14:32
17297.56023,443.999,2014-04-04 15:01:58
13458.02075,482.9,2014-04-02 07:22:53
36933.63089,442.5,2014-04-03 16:16:24
23730.70329,459.941,2014-03-31 22:23:52
37451.63758,454.269,2014-03-31 11:18:01
14306.57039,448.0,2014-04-04 16:42:09
31820.29699,432.958,2014-04-02 23:04:11
15113.70606,480.07,2014-04-02 04:57:42
16672.43831,484.3,2014-04-01 15:30:07
38339.08576,427.973,2014-04-03 14:45:46
32733.04476,467.158,2014-03-31 15:48:21
19051.77353,425.102,2014-04-02 17:28:37
16652.28519,480.002,2014-04-01 20:51:59
21899.32299,445.275,2014-04-03 23:03:46
27995.14468,459.66,2014-03-31 20:23:43
18862.21972,477.396,2014-04-01 23:37:20
16464.5524,482.249,2014-04-01 14:35:04
34201.07775,462.014,2014-03-31 14:08:14
11604.53444,484.0,2014-04-02 12:38:15
26217.85274,441.5,2014-04-03 19:43:18
16933.79234,490.99,2014-04-01 11:44:50
11486.15347,486.49,2014-04-02 12:23:12
36632.08181,461.0,2014-03-31 12:53:08
16660.74891,486.785,2014-04-01 17:46:44
37255.92709,429.0,2014-04-03 15:00:49
15162.91474,478.95,2014-04-02 05:57:47
23428.13162,456.639,2014-03-31 22:38:54
11780.2925,478.326,2014-04-02 12:43:15
28025.07883,457.5,2014-03-31 20:08:42
16411.6447,490.4,2014-04-01 16:10:10
15038.88733,480.385,2014-04-02 06:42:49
37495.29451,451.0,2014-03-31 11:48:03
16459.87249,483.002,2014-04-01 13:04:57
35659.85552,455.001,2014-03-31 05:42:36
19605.97629,444.99,2014-04-04 08:01:05
15860.06047,453.0,2014-04-02 16:28:31
16409.79603,482.3,2014-04-01 20:46:59
11855.56106,477.0,2014-04-01 06:49:30
35029.30133,422.001,2014-04-03 06:04:54
30426.05776,458.814,2014-03-31 04:57:33
12493.84083,483.07,2014-04-02 08:52:58
26033.47271,469.487,2014-04-01 03:54:18
37810.4628,422.52,2014-04-03 09:45:14
16224.8602,449.711,2014-04-04 13:11:45
37045.45404,454.432,2014-03-31 09:07:51
16381.14668,486.87,2014-04-01 13:49:59
26877.79294,466.166,2014-04-01 01:04:04
14415.77737,458.297,2014-04-02 15:03:26
34338.55195,442.333,2014-04-03 17:56:33
22303.59742,479.001,2014-03-31 03:52:30
15779.1659,482.74,2014-04-02 02:27:32
