volume,price,datetime
18834.85073,442.84,2014-04-26 02:10:00
2537.67956,428.911,2014-05-03 13:09:50
10430.3352,454.1,2014-04-07 11:47:42
11967.17806,425.02,2014-04-10 04:07:44
5550.37321,421.899,2014-05-06 17:46:32
7681.17571,492.003,2014-04-20 09:14:16
6088.86701,475.6,2014-04-22 23:16:48
29621.5038,444.795,2014-04-03 18:41:37
4442.03207,432.921,2014-04-27 20:58:29
3994.15081,440.438,2014-05-09 15:37:53
11007.67943,495.66,2014-04-02 09:53:01
7822.00626,424.862,2014-04-28 11:49:39
6483.79417,427.276,2014-05-07 14:37:10
11905.47171,485.999,2014-04-19 08:52:03
50073.30545,412.85,2014-04-11 22:17:27
12389.94413,484.82,2014-04-01 07:34:32
8107.52105,444.0,2014-04-26 11:40:40
28608.85449,508.9,2014-04-16 11:15:52
3527.46284,428.813,2014-05-04 10:43:32
6107.54565,499.799,2014-04-21 04:45:46
9087.13228,453.8,2014-04-05 16:16:07
11810.70358,441.5,2014-04-07 18:58:24
27024.0573,494.701,2014-04-15 19:34:46
5440.91269,436.5,2014-04-30 10:10:23
2656.9372,444.011,2014-05-11 00:33:53
22610.66636,390.0,2014-04-10 17:08:44
3099.91488,447.003,2014-04-27 04:41:55
15466.17455,421.069,2014-04-13 03:44:45
3781.1401,477.103,2014-04-23 11:18:34
3509.92326,430.025,2014-05-04 05:37:58
16517.34544,445.0,2014-04-04 13:31:47
5122.98081,484.99,2014-04-20 22:20:17
4375.7165,429.0,2014-04-27 19:23:21
26190.54612,465.247,2014-04-01 02:09:10
17609.92116,420.482,2014-04-12 22:54:23
24490.45809,518.0,2014-04-17 06:47:56
9602.9944,487.043,2014-04-19 17:38:07
7369.77024,438.51,2014-04-30 14:25:46
2643.95725,430.0,2014-05-03 10:39:40
10682.79602,464.0,2014-04-06 01:57:10
2954.47913,417.033,2014-05-06 03:19:52
5622.77142,449.998,2014-04-09 02:07:35
11678.81219,443.963,2014-04-07 18:28:19
6702.86038,431.261,2014-05-02 12:16:49
28948.41763,489.691,2014-04-15 14:09:21
8550.41268,432.365,2014-04-28 15:59:56
4455.35763,433.5,2014-04-27 19:53:23
6040.42894,498.0,2014-04-21 05:15:47
6046.1666,475.561,2014-04-22 22:36:42
5782.99625,452.407,2014-04-26 18:26:11
24451.6914,423.24,2014-04-12 15:43:49
3160.57333,441.0,2014-05-10 16:28:14
5427.16053,423.55,2014-05-06 12:56:02
5881.89157,426.777,2014-05-07 12:36:30
16597.82244,492.983,2014-04-01 16:40:13
20918.60012,483.05,2014-04-17 17:44:08
5631.92647,450.014,2014-04-09 01:11:53
32384.87776,462.749,2014-04-14 17:46:42
10712.17556,464.422,2014-04-06 01:42:07
4229.36361,442.399,2014-05-10 07:41:45
28426.6175,495.265,2014-04-16 13:01:00
6379.79092,431.839,2014-04-29 03:06:16
2702.5823,431.4,2014-05-03 11:04:42
28030.79968,458.928,2014-03-31 20:13:43
4401.05491,439.0,2014-05-09 19:24:05
5595.96695,434.8,2014-04-30 07:24:16
23107.93505,404.31,2014-04-10 15:03:33
9579.18433,462.452,2014-04-18 13:20:39
13977.51861,446.7,2014-04-07 22:18:48
6003.19726,477.856,2014-04-23 03:37:34
6096.45567,443.001,2014-04-26 13:10:48
10427.8936,445.999,2014-04-05 07:33:50
28894.49579,430.0,2014-04-14 05:34:22
7043.83763,436.793,2014-04-30 11:45:33
5936.12928,483.23,2014-04-21 16:21:47
5274.30242,446.713,2014-05-01 16:28:49
17551.08639,441.952,2014-04-02 17:13:36
5780.86883,439.0,2014-04-29 16:32:14
6525.44033,432.98,2014-05-02 14:41:58
10684.58865,494.934,2014-04-20 04:48:53
18210.22965,420.29,2014-04-12 21:19:15
8701.92972,456.101,2014-04-06 16:13:36
5543.00086,484.99,2014-04-20 21:35:13
5839.21517,439.499,2014-04-29 16:57:16
6034.84083,482.799,2014-04-22 20:06:13
22403.64521,443.536,2014-04-03 22:03:37
11029.03885,421.0,2014-04-13 09:52:13
11879.0154,444.653,2014-04-07 19:28:28
3930.77672,431.849,2014-05-11 21:58:36
22677.84132,408.998,2014-04-10 10:03:13
9936.3171,455.376,2014-04-05 22:06:47
5025.52503,436.39,2014-05-02 21:58:04
3872.76853,432.161,2014-05-12 07:49:46
3880.93962,433.345,2014-05-12 08:04:46
4840.00493,450.1,2014-04-26 20:56:21
2677.61808,445.0,2014-05-11 00:28:53
54510.74496,424.547,2014-04-11 17:22:06
27527.15581,506.3,2014-04-16 16:41:18
16667.28855,490.033,2014-04-01 10:19:43
9349.52373,457.838,2014-04-19 04:36:46
3920.60181,438.99,2014-05-09 16:42:59
17763.33661,448.164,2014-04-25 18:34:25
22906.30129,409.033,2014-04-14 03:49:14
3840.2946,479.99,2014-04-23 21:19:18
16791.04808,444.651,2014-04-04 15:32:01
5923.74964,481.12,2014-04-21 20:32:57
31059.44414,463.0,2014-03-31 16:28:23
37893.04169,358.5,2014-04-10 23:24:45
9855.97589,456.27,2014-04-07 13:32:51
10979.76779,468.031,2014-04-18 10:00:24
3651.81996,431.15,2014-05-12 00:28:48
3051.60355,448.07,2014-04-27 05:41:59
4421.162,443.48,2014-05-10 08:36:50
2611.97512,429.163,2014-05-03 12:14:46
8463.63882,460.99,2014-04-06 19:49:36
5532.31574,448.0,2014-04-09 06:48:02
10632.93847,491.89,2014-04-20 01:18:39
14386.84906,480.92,2014-04-02 06:57:50
10478.1762,444.958,2014-04-26 07:05:21
20467.54617,488.07,2014-04-17 21:19:29
2386.09204,427.0,2014-05-05 06:30:33
41346.08017,436.521,2014-04-12 03:37:53
11681.51489,446.4,2014-04-04 21:37:50
5684.04048,479.2,2014-04-21 18:32:22
